Bebida,Ingrediente1,Ingrediente2,Ingrediente3,Ingrediente4,Ingrediente5,Ingrediente6,Ingrediente7,Ingrediente8,Medida1,Medida2,Medida3,Medida4,Medida5,Medida6,Medida7,Medida8,linkImagen
Arise My Love,Champagne,Green Creme de Menthe,,,,,,,Chilled,1 tsp,,,,,,,https://www.thecocktaildb.com/images/media/drink/wyrrwv1441207432.jpg
Arizona Antifreeze,Vodka,Midori melon liqueur,Sweet and sour,,,,,,1/3 oz,1/3 oz,1/3 oz,,,,,,https://www.thecocktaildb.com/images/media/drink/dbtylp1493067262.jpg
Arizona Stingers,Absolut Vodka,Iced tea,,,,,,,2 shots,12 oz lemon,,,,,,,https://www.thecocktaildb.com/images/media/drink/y7w0721493068255.jpg
Arizona Twister,Vodka,Malibu rum,Gold tequila,Orange juice,Pineapple juice,Cream of coconut,Grenadine,Ice,1 shot,1 shot,1 shot,1 splash,1 splash,1 splash,1 dash,crushed,https://www.thecocktaildb.com/images/media/drink/ido1j01493068134.jpg
Army special,Vodka,Gin,Lime juice cordial,Ice,,,,,30 ml,30 ml,45 ml,1/2 glass crushed,,,,,https://www.thecocktaildb.com/images/media/drink/55muhh1493068062.jpg
Arthur Tompkins,Gin,Grand Marnier,Lemon juice,Lemon peel,,,,,2 oz,1/2 oz,2 tsp,1 twist of,,,,,https://www.thecocktaildb.com/images/media/drink/7onfhz1493067921.jpg
Artillery,Sweet Vermouth,Gin,Bitters,,,,,,1 1/2 tsp,1 1/2 oz,2 dashes,,,,,,https://www.thecocktaildb.com/images/media/drink/g1vnbe1493067747.jpg
Artillery Punch,Tea,Rye whiskey,Red wine,Rum,Brandy,Benedictine,Orange juice,Lemon juice,1 quart black,1 quart,1 fifth,1 pint Jamaican,1/2 pint,1 1/2 oz,1 pint,1/2 pint,https://www.thecocktaildb.com/images/media/drink/9a4vqb1493067692.jpg
AT&T,Absolut Vodka,Gin,Tonic water,,,,,,1 oz,1 oz,4 oz,,,,,,https://www.thecocktaildb.com/images/media/drink/rhhwmp1493067619.jpg
Atlantic Sun,Vodka,Southern Comfort,Passion fruit syrup,Sweet and sour,Club soda,,,,2 cl Smirnoff,2 cl,2 cl,6 cl,1 dash,,,,https://www.thecocktaildb.com/images/media/drink/doyxqb1493067556.jpg
Atomic Lokade,Lemonade,Vodka,Blue Curacao,Triple sec, Sugar, Ice,,,5 oz,1 oz,1/2 oz,1/2 oz,,,,,https://www.thecocktaildb.com/images/media/drink/n3zfrh1493067412.jpg
Auburn Headbanger,Jägermeister,Goldschlager,,,,,,,1 oz,1 oz,,,,,,,https://www.thecocktaildb.com/images/media/drink/vw7iv91493067320.jpg
Autodafé,Vodka,Lime juice, Soda water,,,,,,4 cl,1 dash,,,,,,,https://www.thecocktaildb.com/images/media/drink/7dkf0i1487602928.jpg
Avalanche,Crown Royal,Kahlua,Cream,,,,,,1 shot,1 shot,Fill with,,,,,,https://www.thecocktaildb.com/images/media/drink/uppqty1472720165.jpg
Avalon,3 parts Vodka,Pisang Ambon,Apple juice,Lemon juice, Lemonade,,,,,1 part,6 parts,1 1/2 part,,,,,https://www.thecocktaildb.com/images/media/drink/3k9qic1493068931.jpg
Aviation,4.5 cl Gin,1.5 cl lemon juice,1.5 cl maraschino liqueur,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/ruutxt1478253328.jpg
Aztec Punch,Lemonade,Vodka,Rum,Ginger ale,,,,,1 can,5 oz,7 oz,About 1 bottle,,,,,https://www.thecocktaildb.com/images/media/drink/uqwuyp1454514591.jpg
B-52,Baileys irish cream,Grand Marnier,Kahlua,,,,,,1/3,1/3,1/4,,,,,,https://www.thecocktaildb.com/images/media/drink/5a3vg61504372070.jpg
B-53,Kahlua,Sambuca,Grand Marnier,,,,,,1/3 shot,1/3 shot,1/3 shot,,,,,,https://www.thecocktaildb.com/images/media/drink/rwqxrv1461866023.jpg
Baby Eskimo,Kahlua,Milk,Vanilla ice-cream,,,,,,2 oz,8 oz,2 scoops,,,,,,https://www.thecocktaildb.com/images/media/drink/wywrtw1472720227.jpg
Baby Guinness,Kahlua,Baileys irish cream,,,,,,,2 1/2 oz,1/2 oz,,,,,,,https://www.thecocktaildb.com/images/media/drink/rvyvxs1473482359.jpg
Bacardi Cocktail,Light rum,Lime juice,Sugar syrup,Grenadine,,,,,1 3/4 oz Bacardi,1 oz,1/2 tsp,1 dash,,,,,https://www.thecocktaildb.com/images/media/drink/n433t21504348259.jpg
Bahama Mama,3 parts Rum,1 part Dark Rum,1 part Banana liqueur,1 part Grenadine,2 parts Pineapple Juice,2 parts Orange Juice,1 part Sweet and Sour,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/tyb4a41515793339.jpg
Bailey's Dream Shake,Baileys irish cream,Vanilla ice-cream, Cream,,,,,,2 oz,2 scoops,,,,,,,https://www.thecocktaildb.com/images/media/drink/qxrvqw1472718959.jpg
Balmoral,Scotch,Sweet Vermouth,Dry Vermouth,Bitters,,,,,1 1/2 oz,1/2 oz,1/2 oz,2 dashes,,,,,https://www.thecocktaildb.com/images/media/drink/vysuyq1441206297.jpg
Banana Cantaloupe Smoothie,Cantaloupe,Banana,,,,,,,Juice of 1/2,1,,,,,,,https://www.thecocktaildb.com/images/media/drink/uqxqsy1468876703.jpg
Banana Cream Pi,1 oz Malibu Rum,1 oz Banana Liqueur,Top Pineapple Juice,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/m5p67n1582474609.jpg
Banana Daiquiri,Light rum,Triple sec,Banana,Lime juice,Sugar,Cherry,,,1 1/2 oz,1 tblsp,1,1 1/2 oz,1 tsp,1,,,https://www.thecocktaildb.com/images/media/drink/k1xatq1504389300.jpg
Banana Milk Shake,Milk,Orange juice,Sugar syrup,Banana,,,,,10 cl cold,4 cl,2 tsp,1/2,,,,,https://www.thecocktaildb.com/images/media/drink/rtwwsx1472720307.jpg
Banana Strawberry Shake,Strawberries,Banana,Yoghurt,Milk, to taste Honey,,,,1/2 lb frozen,1 frozen,1 cup plain,1 cup,,,,,https://www.thecocktaildb.com/images/media/drink/vqquwx1472720634.jpg
Banana Strawberry Shake Daiquiri-type,Strawberries,Banana,Apple juice,,,,,,1/2 lb frozen,1 frozen,2 cups fresh,,,,,,https://www.thecocktaildb.com/images/media/drink/uvypss1472720581.jpg
Barracuda,4.5 cl Rum,1.5 cl Galliano,6 cl Pineapple Juice, 1 dash Lime Juice,Prosecco,,,,,,,,top up,,,,https://www.thecocktaildb.com/images/media/drink/jwmr1x1504372337.jpg
Bee's Knees,6 cl Gold rum,2 cl Orange Juice,2 cl Lime Juice,2 jiggers Triple Sec,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/tx8ne41582475326.jpg
Belgian Blue,Vodka,Coconut liqueur,Blue Curacao,Sprite,,,,,2 cl,1 cl,1 cl,Fill with,,,,,https://www.thecocktaildb.com/images/media/drink/jylbrq1582580066.jpg
Bellini,Champagne,Peach schnapps,,,,,,,6 oz,1 oz,,,,,,,https://www.thecocktaildb.com/images/media/drink/eaag491504367543.jpg
Bellini Martini,8 cubes Ice,Vodka,Peach nectar,Peach schnapps,Lemon peel,,,,,3 oz,1.5 oz,1.5 oz,1,,,,https://www.thecocktaildb.com/images/media/drink/3h9wv51504389379.jpg
Bermuda Highball,Brandy,Gin,Dry Vermouth, Carbonated water, Lemon peel,,,,3/4 oz,3/4 oz,3/4 oz,,,,,,https://www.thecocktaildb.com/images/media/drink/qrvtww1441206528.jpg
Berry Deadly,Everclear,Wine,Orange juice,Kool-Aid,,,,,2 pint,1 bottle Boone Strawberry Hill,1/2 gal,1 gal Tropical Berry,,,,,https://www.thecocktaildb.com/images/media/drink/zk74k21593351065.jpg
Between The Sheets,Brandy,Light rum,Triple sec,Lemon juice,,,,,1 oz,1 oz,1 oz,1 oz,,,,,https://www.thecocktaildb.com/images/media/drink/of1rj41504348346.jpg
Bible Belt,Southern Comfort,Triple sec,Lime,Sour mix,,,,,2 oz,1/2 oz,2 wedges,2 oz,,,,,https://www.thecocktaildb.com/images/media/drink/6bec6v1503563675.jpg
Big Red,Irish cream,Goldschlager,,,,,,,1/2 oz,1/2 oz,,,,,,,https://www.thecocktaildb.com/images/media/drink/yqwuwu1441248116.jpg
Bijou,1 dash Orange Bitters,1 oz Green Chartreuse,1 oz Gin,1 oz Sweet Vermouth,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/rysb3r1513706985.jpg
Black & Tan,Ale,Guinness stout,,,,,,,1 part Bass pale,1 part,,,,,,,https://www.thecocktaildb.com/images/media/drink/rwpswp1454511017.jpg
Black and Brown,Guinness stout,Root beer,,,,,,,1/2,1/2,,,,,,,https://www.thecocktaildb.com/images/media/drink/wwuvxv1472668899.jpg
Black Forest Shake,cubes Ice, Chocolate syrup, Cherry brandy, Vodka, Milk,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/xxtxsu1472720505.jpg
Black Russian,Coffee liqueur,Vodka,,,,,,,3/4 oz,1 1/2 oz,,,,,,,https://www.thecocktaildb.com/images/media/drink/2k5gbb1504367689.jpg
Blackthorn,Sweet Vermouth,Sloe gin,Lemon peel,,,,,,1 oz,1 1/2 oz,1 twist of,,,,,,https://www.thecocktaildb.com/images/media/drink/xvswvy1441209430.jpg
Bleeding Surgeon,Dark rum,Orange,Surge,Cranberry juice,,,,,1 shot,1 slice,1/2 glass,1/2 glass,,,,,https://www.thecocktaildb.com/images/media/drink/usuvvr1472719118.jpg
Blind Russian,Baileys irish cream,Godiva liqueur,Kahlua,Butterscotch schnapps, to fill Milk,,,,3/4 oz,3/4 oz,3/4 oz,1/2 oz,,,,,https://www.thecocktaildb.com/images/media/drink/wxuqvr1472720408.jpg
Bloody Maria,Tequila,Tomato juice,Lemon juice,Tabasco sauce,Celery salt,Lemon,,,1 oz,2 oz,1 dash,1 dash,1 dash,1 slice,,,https://www.thecocktaildb.com/images/media/drink/yz0j6z1504389461.jpg
Bloody Mary,Vodka,Tomato juice,Lemon juice,Worcestershire sauce,Tabasco sauce,Lime,,,1 1/2 oz,3 oz,1 dash,1/2 tsp,2-3 drops,1 wedge,,,https://www.thecocktaildb.com/images/media/drink/t6caa21582485702.jpg
Bloody Punch,10 shots Vodka,3 cups Strawberries,1/2 cup Lime Juice,12 oz Lemon-lime soda,12 oz Lemon-lime soda,1 cup Raisins,1 cup Blueberries,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/5yhd3n1571687385.jpg
Blue Hurricane,4 parts Rum,2 parts Dark Rum,1 part Passoa,1 part Blue Curacao,6 parts Sweet and Sour,cubes Ice,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/nwx02s1515795822.jpg
Blue Lagoon,Vodka,Blue Curacao, Lemonade, Cherry,,,,,1 oz,1 oz,,,,,,,https://www.thecocktaildb.com/images/media/drink/5wm4zo1582579154.jpg
Blue Margarita,Tequila,Blue Curacao,Lime juice,Salt,,,,,1 1/2 oz,1 oz,1 oz,Coarse,,,,,https://www.thecocktaildb.com/images/media/drink/bry4qh1582751040.jpg
Blue Mountain,Añejo rum,Tia maria,Vodka,Orange juice,Lemon juice,,,,1 1/2 oz,1/2 oz,1/2 oz,1 oz,1 tsp,,,,https://www.thecocktaildb.com/images/media/drink/bih7ln1582485506.jpg
Blueberry Mojito,2 shots Dark Rum,1 shot Lime Juice,Dash Sugar,Whole Blueberries,Top Lemon-lime soda,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/07iep51598719977.jpg
Bluebird,Gin,Triple sec,Blue Curacao,Bitters,Maraschino cherry,Lemon peel,,,1 1/2 oz,1/2 oz,1/2 oz,2 dashes,1,1 twist of,,,https://www.thecocktaildb.com/images/media/drink/5jhyd01582579843.jpg
Bob Marley,Midori melon liqueur,Jägermeister,Goldschlager,,,,,,1/2 oz,1/2 oz,1/2 oz,,,,,,https://www.thecocktaildb.com/images/media/drink/rrqrst1477140664.jpg
Bobby Burns Cocktail,Sweet Vermouth,Scotch,Benedictine,Lemon peel,,,,,1 1/2 oz,1 1/2 oz,1 1/4 tsp,1 twist of,,,,,https://www.thecocktaildb.com/images/media/drink/km6se51484411608.jpg
Bombay Cassis,50 ml Gin,20 ml Creme de Cassis,15 ml Fresh Lime Juice,75 ml Ginger beer,1 Lime,1 long strip Ginger,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/h1e0e51510136907.jpg
Boomerang,Gin,Dry Vermouth,Bitters,Maraschino liqueur,Maraschino cherry,,,,2 oz,1/2 oz,2 dashes,1/2 tsp,1,,,,https://www.thecocktaildb.com/images/media/drink/3m6yz81504389551.jpg
Boozy Snickers Milkshake,Vanilla Ice-Cream,Milk,Godiva liqueur,for topping Whipped Cream,4 tablespoons caramel sauce,4 tablespoons chocolate sauce,15 Mini-snickers bars,,3 cups,1 cup,1/2 cup,,,,,,https://www.thecocktaildb.com/images/media/drink/861tzm1504784164.jpg
Bora Bora,Pineapple juice,Passion fruit juice,Lemon juice,Grenadine,,,,,10 cl,6 cl,1 cl,1 cl,,,,,https://www.thecocktaildb.com/images/media/drink/xwuqvw1473201811.jpg
Boston Sidecar,Light rum,Brandy,Triple sec,Lime,,,,,3/4 oz,3/4 oz,3/4 oz,Juice of 1/2,,,,,https://www.thecocktaildb.com/images/media/drink/qzs5d11504365962.jpg
Boston Sour,Blended whiskey,Lemon,Powdered sugar,Egg white,Lemon,Cherry,,,2 oz,Juice of 1/2,1 tsp,1,1 slice,1,,,https://www.thecocktaildb.com/images/media/drink/kxlgbi1504366100.jpg
Boulevardier,1 oz Campari,1 oz Sweet Vermouth,1 1/4 oz Rye whiskey,1 Orange Peel,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/km84qi1513705868.jpg
Bounty Hunter,1 shot Rum,1 shot Coconut Liqueur,Garnish with Blueberries,Dash Pineapple Juice,Top Prosecco,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/t8bgxl1596018175.jpg
Bourbon Sling,Sugar,Water,Lemon juice,Bourbon,Lemon peel,,,,1 tsp superfine,2 tsp,1 oz,2 oz,1 twist of,,,,https://www.thecocktaildb.com/images/media/drink/3s36ql1504366260.jpg
Bourbon Sour,Bourbon,Lemon juice,Sugar,Orange,Maraschino cherry,,,,2 oz,1 oz,1/2 tsp superfine,1,1,,,,https://www.thecocktaildb.com/images/media/drink/dms3io1504366318.jpg
Boxcar,Gin,Triple sec,Lemon juice,Grenadine,Egg white,,,,1 1/2 oz,1 oz,1 tsp,1/2 tsp,1,,,,https://www.thecocktaildb.com/images/media/drink/pwgtpa1504366376.jpg
Brain Fart,Everclear,Vodka,Mountain Dew,Surge,Lemon juice,Rum,,,1 fifth,1 fifth Smirnoff red label,2 L,2 L,1 small bottle,1 pint,,,https://www.thecocktaildb.com/images/media/drink/rz5aun1504389701.jpg
Brainteaser,Sambuca,Erin Cream,Advocaat,,,,,,30 ml white,30 ml,5 ml,,,,,,https://www.thecocktaildb.com/images/media/drink/ruywtq1461866066.jpg
Bramble,4 cl Gin,1.5 cl lemon juice,1 cl Sugar syrup,1.5 cl Creme de Mure,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/lvzl3r1504372526.jpg
Brandon and Will's Coke Float,Vanilla ice-cream,Coca-Cola,Bourbon,,,,,,2 scoops,1 can,2 oz,,,,,,https://www.thecocktaildb.com/images/media/drink/xspxyr1472719185.jpg
Brandy Alexander,Brandy,Creme de Cacao,Light cream, Nutmeg,,,,,1 oz,1 oz white,1 oz,,,,,,https://www.thecocktaildb.com/images/media/drink/tvqxvr1483387746.jpg
Brandy Cobbler,Sugar,Club soda,Lemon,Brandy,Maraschino cherry,Orange,,,1 tsp superfine,3 oz,1,2 oz,1,1,,,https://www.thecocktaildb.com/images/media/drink/5xgu591582580586.jpg
Brandy Flip,Brandy,Egg,Sugar,Light cream,Nutmeg,,,,2 oz,1 whole,1 tsp superfine,1/2 oz,1/8 tsp grated,,,,https://www.thecocktaildb.com/images/media/drink/6ty09d1504366461.jpg
Brandy Sour,Brandy,Lemon,Powdered sugar,Lemon,Cherry,,,,2 oz,Juice of 1/2,1/2 tsp,1/2 slice,1,,,,https://www.thecocktaildb.com/images/media/drink/b1bxgq1582484872.jpg
Brave Bull Shooter,Tequila,Tabasco sauce,,,,,,,1/2 oz,1/2 oz,,,,,,,https://www.thecocktaildb.com/images/media/drink/yrtypx1473344625.jpg
Brigadier,4 oz Hot Chocolate,1 oz Green Chartreuse,1 oz Cherry Heering,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/nl89tf1518947401.jpg
Broadside,1 shot 151 proof rum,1/2 shot Scotch,3 drops Bitters,1 Fresh Wormwood,cubes Ice,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/l2o6xu1582476870.jpg
Brooklyn,2 oz Rye Whiskey,1 oz Dry Vermouth,1/4 oz Maraschino Liqueur,3 dashes Angostura Bitters,1 Maraschino Cherry,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/ojsezf1582477277.jpg
Bruce's Puce, Grenadine, Kahlua, Baileys irish cream,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/svsvqv1473344558.jpg
Bruised Heart,Vodka,Chambord raspberry liqueur,Peachtree schnapps,Cranberry juice,,,,,1/2 oz,1/2 oz,1/2 oz,1/2 oz,,,,,https://www.thecocktaildb.com/images/media/drink/7if5kq1503564209.jpg
Bubble Gum,Vodka,Banana liqueur,Orange juice,Peach schnapps,,,,,1/4,1/4,1/4,1/4,,,,,https://www.thecocktaildb.com/images/media/drink/spuurv1468878783.jpg
Buccaneer,Corona,Bacardi Limon,,,,,,,1,1 shot,,,,,,,https://www.thecocktaildb.com/images/media/drink/upvtyt1441249023.jpg
Bumble Bee #1,Baileys irish cream,Kahlua,Sambuca,,,,,,1/3 oz,1/3 oz,1/3 oz,,,,,,https://www.thecocktaildb.com/images/media/drink/uwqpvv1461866378.jpg
Butter Baby,Vanilla Ice-Cream,Butterscotch schnapps,Milk,Vodka,,,,,2 scoops,1 part,full glass,2 parts,,,,,https://www.thecocktaildb.com/images/media/drink/1xhjk91504783763.jpg
